product_id,title,category,price,stock,rating,brand
1,Essence Mascara Lash Princess,beauty,9.99,99,2.56,Essence
2,Eyeshadow Palette with Mirror,beauty,19.99,34,2.86,Glamour Beauty
3,Powder Canister,beauty,14.99,89,4.64,Velvet Touch
4,Red Lipstick,beauty,12.99,91,4.36,Chic Cosmetics
5,Red Nail Polish,beauty,8.99,79,4.32,Nail Couture
6,Calvin Klein CK One,fragrances,49.99,29,4.37,Calvin Klein
7,Chanel Coco Noir Eau De,fragrances,129.99,58,4.26,Chanel
8,Dior J'adore,fragrances,89.99,98,3.8,Dior
9,Dolce Shine Eau de,fragrances,69.99,4,3.96,Dolce & Gabbana
10,Gucci Bloom Eau de,fragrances,79.99,91,2.74,Gucci
11,Annibale Colombo Bed,furniture,1899.99,88,4.77,Annibale Colombo
12,Annibale Colombo Sofa,furniture,2499.99,60,3.92,Annibale Colombo
13,Bedside Table African Cherry,furniture,299.99,64,2.87,Furniture Co.
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,26,4.88,Knoll
15,Wooden Bathroom Sink With Mirror,furniture,799.99,7,3.59,Bath Trends
16,Apple,groceries,1.99,8,4.19,
17,Beef Steak,groceries,12.99,86,4.47,
18,Cat Food,groceries,8.99,46,3.13,
19,Chicken Meat,groceries,9.99,97,3.19,
20,Cooking Oil,groceries,4.99,10,4.8,
21,Cucumber,groceries,1.49,84,4.07,
22,Dog Food,groceries,10.99,71,4.55,
23,Eggs,groceries,2.99,9,2.53,
24,Fish Steak,groceries,14.99,74,3.78,
25,Green Bell Pepper,groceries,1.29,33,3.25,
26,Green Chili Pepper,groceries,0.99,3,3.66,
27,Honey Jar,groceries,6.99,34,3.97,
28,Ice Cream,groceries,5.49,27,3.39,
29,Juice,groceries,3.99,50,3.94,
30,Kiwi,groceries,2.49,99,4.93,
31,Lemon,groceries,0.79,31,3.53,
32,Milk,groceries,3.49,27,2.61,
33,Mulberry,groceries,4.99,99,4.95,
34,Nescafe Coffee,groceries,7.99,57,4.82,
35,Potatoes,groceries,2.29,13,4.81,
36,Protein Powder,groceries,19.99,80,4.18,
37,Red Onions,groceries,1.99,82,4.2,
38,Rice,groceries,5.99,59,3.18,
39,Soft Drinks,groceries,1.99,53,4.75,
40,Strawberry,groceries,3.99,46,3.08,
41,Tissue Paper Box,groceries,2.49,86,2.69,
42,Water,groceries,0.99,53,4.96,
43,Decoration Swing,home-decoration,59.99,47,3.16,
44,Family Tree Photo Frame,home-decoration,29.99,77,4.53,
45,House Showpiece Plant,home-decoration,39.99,28,4.67,
46,Plant Pot,home-decoration,14.99,59,3.01,
47,Table Lamp,home-decoration,49.99,9,3.55,
48,Bamboo Spatula,kitchen-accessories,7.99,37,3.27,
49,Black Aluminium Cup,kitchen-accessories,5.99,75,4.46,
50,Black Whisk,kitchen-accessories,9.99,73,3.9,
51,Boxed Blender,kitchen-accessories,39.99,9,4.56,
52,Carbon Steel Wok,kitchen-accessories,29.99,40,4.05,
53,Chopping Board,kitchen-accessories,12.99,14,3.7,
54,Citrus Squeezer Yellow,kitchen-accessories,8.99,22,4.63,
55,Egg Slicer,kitchen-accessories,6.99,40,3.09,
56,Electric Stove,kitchen-accessories,49.99,21,4.11,
57,Fine Mesh Strainer,kitchen-accessories,9.99,85,3.04,
58,Fork,kitchen-accessories,3.99,7,3.11,
59,Glass,kitchen-accessories,4.99,46,4.02,
